Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,Federal,ICMBio,Ativo,Área de Proteção Ambiental,0000.00.0023
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA LEÃO DA MONTANHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2180
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTAL ÁGUA BRANCA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3102
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUAÍRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4535
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DE MIGUEL PEREIRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4536
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO GUIGO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3066
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SALTO APEPIQUE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1412
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BEM VIVER,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4543
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO JAMACAII,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4552
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA VIII,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4549
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BUTIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4548
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FERLAG RESINAS BRASIL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4546
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA VI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4544
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0305
ARIE MANGUE DE SANTA TERESA,Municipal,PMO,Ativo,Área de Relevante Interesse Ecológico,9600.26.4570
RESERVA BIOLÓGICA DO GURUPI,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0207
PARQUE NATURAL MUNICIPAL JOSÉ MULATO,Municipal,SEMEA/AREZ/RN,Ativo,Parque,0120.24.4075
ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,Federal,ICMBio,Ativo,Área de Proteção Ambiental,0000.00.0028
PARQUE NATURAL MUNICIPAL NASCENTE DO RIO TAQUARI,Municipal,PMAT,Ativo,Parque,0607.51.4567
