Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0986
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO UATUMÃ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0990
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO NEGRO,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.1730
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO MATUPIRI,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.1735
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO AMAPÁ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0988
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.1573
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CUJUBIM,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0985
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CANUMÃ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0984
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARARATI,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0983
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0982
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DO URUAÚ,Estadual,SEMA - CE,Ativo,Área de Proteção Ambiental,0000.23.0953
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOL,Estadual,IEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.32.2360
FLORESTA NACIONAL DO CREPORI,Federal,ICMBio,Ativo,Floresta,0000.00.0270
RESERVA EXTRATIVISTA CHICO MENDES,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0222
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DO AMAPÁ,Estadual,SEMA,Ativo,Área de Proteção Ambiental,0000.12.0941
RESERVA EXTRATIVISTA DO RIO UNINI,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0283
PARQUE NACIONAL DE ANAVILHANAS,Federal,ICMBio,Ativo,Parque,0000.00.0049
RESERVA EXTRATIVISTA ARIÓCA PRUANÃ,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0273
PARQUE NATURAL MUNICIPAL VARGINHA,Municipal,SVMA,Ativo,Parque,5030.35.3139
PARQUE NACIONAL DO RIO NOVO,Federal,ICMBio,Ativo,Parque,0000.00.0264
PARQUE NACIONAL DO JAÚ,Federal,ICMBio,Ativo,Parque,0000.00.0173
RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0216
PARQUE NACIONAL DO JAMANXIM,Federal,ICMBio,Ativo,Parque,0000.00.0267
RESERVA EXTRATIVISTA RENASCER,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.1810
PARQUE ESTADUAL SERRA RICARDO FRANCO,Estadual,SEMA MT,Ativo,Parque,0000.51.0448
ESTAÇÃO ECOLÓGICA RIO ACRE,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0068
RESERVA BIOLÓGICA DO TAPIRAPÉ,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0211
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.0981
RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO MADEIRA,Estadual,SEMA,Ativo,Reserva de Desenvolvimento Sustentável,0000.13.1977
RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS,Estadual,SEMA,Ativo,Reserva Biológica,0000.13.1011
PARQUE ESTADUAL SUMAÚMA,Estadual,SEMA,Ativo,Parque,0000.13.1010
PARQUE ESTADUAL SUCUNDURI,Estadual,SEMA,Ativo,Parque,0000.13.1009
PARQUE ESTADUAL SERRA DO ARACÁ,Estadual,SEMA,Ativo,Parque,0000.13.1008
PARQUE ESTADUAL GUARIBA,Estadual,SEMA,Ativo,Parque,0000.13.1004
PARQUE ESTADUAL DO MATUPIRI,Estadual,SEMA,Ativo,Parque,0000.13.1736
FLORESTA ESTADUAL SUCUNDURI,Estadual,SEMA,Ativo,Floresta,0000.13.1001
FLORESTA ESTADUAL RIO URUBU,Estadual,SEMA,Ativo,Floresta,0000.13.1002
FLORESTA ESTADUAL MAÚES,Estadual,SEMA,Ativo,Floresta,0000.13.1003
FLORESTA ESTADUAL MANICORÉ,Estadual,SEMA,Ativo,Floresta,0000.13.1000
FLORESTA ESTADUAL DE TAPAUÁ,Estadual,SEMA,Ativo,Floresta,0000.13.1731
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0072
PARQUE NACIONAL DO CABO ORANGE,Federal,ICMBio,Ativo,Parque,0000.00.0169
RESERVA EXTRATIVISTA ITUXÍ,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.1628
FLORESTA ESTADUAL CANUTAMA,Estadual,SEMA,Ativo,Floresta,0000.13.1737
FLORESTA ESTADUAL ARIPUANÃ,Estadual,SEMA,Ativo,Floresta,0000.13.0999
FLORESTA ESTADUAL APUÍ,Estadual,SEMA,Ativo,Floresta,0000.13.0998
PARQUE ESTADUAL RIO NEGRO SETOR SUL,Estadual,SEMA,Ativo,Parque,0000.13.1006
RESERVA EXTRATIVISTA MÉDIO JURUÁ,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0235
PARQUE ESTADUAL RIO NEGRO SETOR NORTE,Estadual,SEMA,Ativo,Parque,0000.13.1007
RESERVA EXTRATIVISTA RIO IRIRI,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0280
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,Federal,ICMBio,Ativo,Parque,0000.00.0284
PARQUE NACIONAL DO JURUENA,Federal,ICMBio,Ativo,Parque,0000.00.0281
RESERVA EXTRATIVISTA DO LAGO DO CAPANÃ GRANDE,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0242
ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO BENTO,Municipal,SMMAAA,Ativo,Área de Proteção Ambiental,0170.33.3232
RESERVA BIOLÓGICA DO PARQUE EQUITATIVA,Municipal,SMMAAA,Ativo,Reserva Biológica,0170.33.3230
PARQUE NATURAL MUNICIPAL DA CAIXA D´ÁGUA,Municipal,SMMAAA,Ativo,Parque,0170.33.3231
RESERVA BIOLÓGICA DO JARU,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0208
ESTAÇÃO ECOLÓGICA DO JARI,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0067
ESTAÇÃO ECOLÓGICA DE MARACÁ,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0057
RESERVA EXTRATIVISTA VERDE PARA SEMPRE,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0260
PARQUE NACIONAL DA SERRA DO DIVISOR,Federal,ICMBio,Ativo,Parque,0000.00.0149
RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,Estadual,SEMA MT,Ativo,Reserva Extrativista,0000.51.0463
RESERVA BIOLÓGICA CULUENE,Estadual,SEMA MT,Ativo,Reserva Biológica,0000.51.0457
REFÚGIO DE VIDA SILVESTRE MATA LANÇO DOS CAÇÕES,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.2239
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLÍVIO DALEPRANE,Estadual,IEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.32.3263
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOM PEDRO,Estadual,IEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.32.3261
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LINDA SOFIA,Estadual,IEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.32.3262
ESTAÇÃO ECOLÓGICA DO TRIPUÍ,Estadual,IEF,Ativo,Estação Ecológica,0000.31.0367
RESERVA BIOLÓGICA DO RIO TROMBETAS,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0210
ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA CRUZ,Estadual,CPRH,Ativo,Área de Proteção Ambiental,0000.26.1929
RESERVA EXTRATIVISTA RIO CAJARI,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.1518
RESERVA EXTRATIVISTA RIO XINGU,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.1635
PARQUE NACIONAL DA SERRA DA CUTIA,Federal,ICMBio,Ativo,Parque,0000.00.0188
RESERVA BIOLÓGICA DO UATUMÃ,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0213
RESERVA EXTRATIVISTA BAIXO JURUÁ,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0230
ESTAÇÃO ECOLÓGICA ALTO MAUÉS,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.3131
RESERVA EXTRATIVISTA AUATÍ-PARANÁ,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0220
RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0221
PARQUE NACIONAL MAPINGUARI,Federal,ICMBio,Ativo,Parque,0000.00.1633
PARQUE NACIONAL DA AMAZÔNIA,Federal,ICMBio,Ativo,Parque,0000.00.0136
ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0047
PARQUE NATURAL MUNICIPAL ARQUELÓGICO DO MORRO DA QUEIMADA,Municipal,SEMMA,Ativo,Parque,4610.31.3160
PARQUE NATURAL MUNICIPAL DO HORTO DOS CONTOS,Municipal,SEMMA,Ativo,Parque,4610.31.2642
PARQUE ESTADUAL IGARAPÉS DO JURUENA,Estadual,SEMA MT,Ativo,Parque,0000.51.0455
PARQUE MUNICIPAL NATURAL DA BOA ESPERANÇA,Municipal,PMI,Ativo,Parque,1360.29.2321
ÁREA DE PROTEÇÃO AMBIENTAL DE GUADALUPE,Estadual,CPRH,Ativo,Área de Proteção Ambiental,0000.26.0967
PARQUE ESTADUAL DO XINGU,Estadual,SEMA MT,Ativo,Parque,0000.51.0470
ESTAÇÃO ECOLÓGICA DO RIO RONURO,Estadual,SEMA MT,Ativo,Estação Ecológica,0000.51.0451
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA CABECEIRA DO CÓRREGO MAHANA,Municipal,SMAAS,Ativo,Área de Relevante Interesse Ecológico,0060.52.3234
ÁREA DE PROTEÇÃO AMBIENTAL DE ENGENHEIRO PASSOS APAEP,Municipal,AMAR,Ativo,Área de Proteção Ambiental,0420.33.3165
PARQUE NATURAL MUNICIPAL DA CACHOEIRA DA FUMAÇA E JACUBA PARFUMAÇA,Municipal,AMAR,Ativo,Parque,0420.33.3166
ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE,Estadual,CPRH,Ativo,Área de Proteção Ambiental,0000.26.1928
REFÚGIO DE VIDA SILVESTRE DA MATA DA REPRESA,Municipal,SPMA,Ativo,Refúgio de Vida Silvestre,0850.35.3220
ESTAÇÃO ECOLÓGICA DE CAETÉS,Estadual,CPRH,Ativo,Estação Ecológica,0000.26.0964
RDS QUILOMBOS DE BARRA DO TURVO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1692
RDS DO DESPRAIADO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1689
RDS DA BARRA DO UNA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1687
RDS BARREIRO ANHEMAS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1688
PARQUE ESTADUAL NASCENTES DO PARANAPANEMA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.2839
PARQUE ESTADUAL DO JUQUERY,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.0831
PARQUE ESTADUAL DA CAMPINA DO ENCANTADO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.0854
ESTAÇÃO ECOLÓGICA DO BARREIRO RICO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.1672
ARIE DO GUARÁ,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Relevante Interesse Ecológico,0000.35.1725
ARIE DE SÃO SEBASTIÃO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Relevante Interesse Ecológico,0000.35.1722
APA SILVEIRAS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1717
APA RIO BATALHA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1712
APA SAPUCAÍ MIRIM,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1715
APA CAMPOS DO JORDÃO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1698
PARQUE NATURAL MUNICIPAL MORRO DO OURO,Municipal,SMTCMA,Ativo,Parque,0270.35.3143
APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1972
APA DO BANHADO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1694
APA MORRO DE SÃO BENTO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1706
APA MATA DO IGUATEMÍ,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1705
APA SERRA DO MAR,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1716
APA SISTEMA CANTAREIRA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1718
APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1973
RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL DAS CASCATAS,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3211
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PEDRA BRANCA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3210
PARQUE NATURAL MUNICIPAL DO SETOR SANTA CRUZ,Municipal,SEMMAC,Ativo,Parque,0510.52.1947
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO CAHY,Estadual,INEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.29.3203
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMBRANÇA II,Estadual,INEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.29.3202
PARQUE NATURAL MUNICIPAL DO TABULEIRO,Municipal,SMMA - CMD,Ativo,Parque,1750.31.3155
PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI,Municipal,PMSJC,Ativo,Parque,4990.35.2587
PARQUE NATURAL MUNICIPAL DO BANHADO,Municipal,PMSJC,Ativo,Parque,4990.35.2727
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CORREDOR ECOLÓGICO LAGOA ENCANTADA / SERRA DO CONDURU,Municipal,PMI,Ativo,Área de Relevante Interesse Ecológico,1360.29.3177
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DOS FRADES,Estadual,INEA,Ativo,Área de Proteção Ambiental,0000.33.0736
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FERNANDES I, II E III",Estadual,INEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.29.3173
PARQUE NATURAL MUNICIPAL FAZENDA DO CARMO,Municipal,SVMA,Ativo,Parque,5030.35.1962
ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0312
PARQUE NATURAL MUNICIPAL VEREDAS DOS CARAJÁS,Municipal,SMMA,Ativo,Parque,0215.15.3163
PARQUE NATURAL MUNICIPAL BORORÉ,Municipal,SVMA,Ativo,Parque,5030.35.2578
ÁREA DE PROTEÇÃO AMBIENTAL DO MANGUEZAL DA BARRA GRANDE,Municipal,SEDEMA,Ativo,Área de Proteção Ambiental,0535.23.3128
REFUGIO DE VIDA SILVESTRE DO CHAUA,Municipal,PMC,Ativo,Refúgio de Vida Silvestre,0090.33.3154
RESERVA PARTICULAR DO PATRIMONIO NATURAL PALMARES,Estadual,IEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.32.2997
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA,Municipal,SEMMA,Ativo,Área de Relevante Interesse Ecológico,0020.32.2878
MONUMENTO NATURAL MUNICIPAL GRUTA NOSSA SENHORA DA LAPA,Municipal,SEMMA,Ativo,Monumento Natural,4610.31.2614
PARQUE ESTADUAL DO PAU-OCO,Estadual,IAP,Ativo,Parque,0000.41.0518
PARQUE ESTADUAL DO LAGO AZUL,Estadual,IAP,Ativo,Parque,0000.41.0511
PARQUE ESTADUAL DO GUARTELÁ,Estadual,IAP,Ativo,Parque,0000.41.0549
PARQUE ESTADUAL DO CERRADO,Estadual,IAP,Ativo,Parque,0000.41.0499
PARQUE ESTADUAL DO BOGUAÇU,Estadual,IAP,Ativo,Parque,0000.41.0514
PARQUE ESTADUAL DE VILA VELHA,Estadual,IAP,Ativo,Parque,0000.41.0550
PARQUE ESTADUAL DE IBICATU,Estadual,IAP,Ativo,Parque,0000.41.0522
PARQUE ESTADUAL DE CAMPINHOS,Estadual,IAP,Ativo,Parque,0000.41.0513
PARQUE ESTADUAL DA ILHA DO MEL,Estadual,IAP,Ativo,Parque,0000.41.0529
FLORESTA ESTADUAL DO PALMITO,Estadual,IAP,Ativo,Floresta,0000.41.0521
FLORESTA ESTADUAL DE SANTANA,Estadual,IAP,Ativo,Floresta,0000.41.0495
ESTAÇÃO ECOLÓGICA RIO DOS TOUROS,Estadual,IAP,Ativo,Estação Ecológica,0000.41.0515
ESTAÇÃO ECOLÓGICA FERNANDES PINHEIRO,Estadual,IAP,Ativo,Estação Ecológica,0000.41.0516
ESTAÇÃO ECOLÓGICA DO GUARAGUAÇU,Estadual,IAP,Ativo,Estação Ecológica,0000.41.0497
ESTAÇÃO ECOLÓGICA DA ILHA DO MEL,Estadual,IAP,Ativo,Estação Ecológica,0000.41.0528
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DE CIMA,Municipal,PMCG,Ativo,Área de Proteção Ambiental,0100.33.3115
PARQUE ESTADUAL DA GRACIOSA,Estadual,IAP,Ativo,Parque,0000.41.0541
AREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS,Municipal,PMC,Ativo,Área de Proteção Ambiental,0950.35.1570
PARQUE ESTADUAL DA SERRA DOS MONTES ALTOS,Estadual,INEMA,Ativo,Parque,0000.29.2026
REFUGIO DE VIDA SILVESTRE DA SERRA DOS MONTES ALTOS,Estadual,INEMA,Ativo,Refúgio de Vida Silvestre,0000.29.2016
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTO ANTONIO,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.2298
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SERRA NEGRA,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.2301
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MINAS GERAIS,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3149
MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO,Estadual,INEMA,Ativo,Monumento Natural,0000.29.0295
PARQUE ESTADUAL DAS SETE PASSAGENS,Estadual,INEMA,Ativo,Parque,0000.29.0297
PARQUE NATURAL MUNICIPAL DO PAMPA,Municipal,SMAM,Ativo,Parque,0160.43.3138
PARQUE ESTADUAL DA SERRA DO CONDURU,Estadual,INEMA,Ativo,Parque,0000.29.0325
ESTAÇÃO ECOLÓGICA DO RIO PRETO,Estadual,INEMA,Ativo,Estação Ecológica,0000.29.0898
RESERVA BIOLÓGICA DE SANTA ISABEL,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0199
PARQUE NATURAL MUNICIPAL JACEGUAVA,Municipal,SVMA,Ativo,Parque,5030.35.3141
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL NASCENTES GERAIZEIRAS,Federal,ICMBio,Ativo,Reserva de Desenvolvimento Sustentável,0000.00.3135
ÁREA DE PROTEÇÃO AMBIENTAL TINHARÉ / BOIPEBA,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0304
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0307
ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0327
ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0306
ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0302
ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0311
ÁREA DE PROTEÇÃO AMBIENTAL MANGUE SECO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0326
ÁREA DE PROTEÇÃO AMBIENTAL LITORAL NORTE,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0323
ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0315
ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0316
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.1015
ÁREA DE PROTEÇÃO AMBIENTAL GUAIBIM,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0303
ÁREA DE PROTEÇÃO AMBIENTAL GRUTAS DOS BREJÕES / VEREDAS DO ROMÃO GRAMACHO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0314
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.1016
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DO OURO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.1569
ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0309
ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0308
ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0320
ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0328
MONUMENTO NATURAL DA ÁGUA SANTA,Municipal,PMN,Ativo,Monumento Natural,0310.33.2943
REFÚGIO DE VIDA SILVESTRE MATA DO BURAQUINHO,Estadual,SUDEMA,Ativo,Refúgio de Vida Silvestre,0000.25.3124
PARQUE NATURAL MUNICIPAL DO DOURADO,Municipal,PMETP,Ativo,Parque,3880.35.3120
MONUMENTO NATURAL ESTADUAL PICO DO IBITURUNA,Estadual,IEF,Ativo,Monumento Natural,0000.31.3039
ÁREA DE PROTEÇÃO AMBIENTAL WALDEIR GONÇALVES - SERRA DO ITAÓCA,Municipal,PMCG,Ativo,Área de Proteção Ambiental,0100.33.3060
RESERVA BIOLOGICA DA SERRA DE SANTA RITA MITZI BRANDAO,Municipal,DMADS,Ativo,Reserva Biológica,5960.31.3061
RESERVA BIOLÓGICA SERRA AZUL,Estadual,IEF,Ativo,Reserva Biológica,0000.31.0389
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DOS PÁSSAROS,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3056
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRUMADINHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3072
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁREA DE PROTEÇÃO DO RESERVATÓRIO DE JURAMENTO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1249
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA CRUZ - MACUQUINHOS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1305
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DE GUAPIAÇU 2,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3054
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICHO PREGUIÇA,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3058
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DOS PÁSSAROS II,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3057
ÁREA DE PROTEÇÃO AMBIENTAL DO PASSAUNA,Estadual,IAP,Ativo,Área de Proteção Ambiental,0000.41.0526
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,Estadual,IAP,Ativo,Área de Proteção Ambiental,0000.41.0500
PARQUE NATURAL MUNICIPAL DE ITAPERUNA,Municipal,SMAI,Ativo,Parque,0220.33.3044
MONUMENTO NATURAL ESTADUAL SERRA DO GAMBÁ,Estadual,IEF,Ativo,Monumento Natural,0000.31.2623
REFÚGIO DE VIDA SILVESTRE ESTADUAL SERRA DAS AROEIRAS,Estadual,IEF,Ativo,Refúgio de Vida Silvestre,0000.31.3041
ÁREA DE PROTEÇÃO AMBIENTAL DA PRAIA DE PONTA GROSSA,Municipal,SEDEMA,Ativo,Área de Proteção Ambiental,0535.23.3034
REFÚGIO DE VIDA SILVESTRE ESTADUAL MACAÚBAS,Estadual,IEF,Ativo,Refúgio de Vida Silvestre,0000.31.3038
ÁREA DE PROTEÇÃO AMBIENTAL PEDRA DO ELEFANTE,Estadual,IEMA,Ativo,Área de Proteção Ambiental,0000.32.0337
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURUCACA 1,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2088
ÁREA DE PROTEÇÃO AMBIENTAL DO IRAÍ,Estadual,IAP,Ativo,Área de Proteção Ambiental,0000.41.0501
